EmailID,SentenceID,SentenceLen,Failures,OutofSeq,NetFailure,NetSuccess,Depth_1,Depth_2,DepthWeightedScore
12151,0,10,4,0,4,55.56,2,3,0.388888888889
12151,1,15,9,0,9,35.71,5,0,0.357142857143
12151,2,9,5,0,5,37.50,3,0,0.375
12151,3,12,10,0,10,9.09,1,0,0.0909090909091
12151,4,7,5,0,5,16.67,0,1,0.0833333333333
12151,5,18,12,0,12,29.41,3,2,0.235294117647
12151,6,23,20,0,20,9.09,0,2,0.0454545454545
12151,7,13,10,0,10,16.67,2,0,0.166666666667
12151,8,23,14,0,14,36.36,7,1,0.340909090909
12151,9,10,7,0,7,22.22,1,1,0.166666666667
12151,10,10,7,0,7,22.22,1,1,0.166666666667
12151,11,26,16,0,16,36.00,8,1,0.34
12151,12,8,5,0,5,28.57,0,2,0.142857142857
12151,13,13,5,0,5,58.33,6,1,0.541666666667
12151,14,37,24,0,24,33.33,8,4,0.277777777778
12151,15,15,10,0,10,28.57,4,0,0.285714285714
12151,16,7,4,0,4,33.33,2,0,0.333333333333
12151,17,4,2,0,2,33.33,1,0,0.333333333333
12151,18,8,5,0,5,28.57,2,0,0.285714285714
12151,19,12,9,0,9,18.18,2,0,0.181818181818
12151,20,19,14,0,14,22.22,3,1,0.194444444444
12151,21,18,15,0,15,11.76,2,0,0.117647058824
12151,22,24,18,0,18,21.74,5,0,0.217391304348
12151,23,15,8,0,8,42.86,4,2,0.357142857143
12151,24,11,9,0,9,10.00,0,1,0.05
12151,25,15,10,0,10,28.57,4,0,0.285714285714
12151,26,12,7,0,7,36.36,3,1,0.318181818182
12151,27,2,1,0,1,0.00,0,0,0.0
12151,28,13,7,0,7,41.67,2,3,0.291666666667
12151,29,28,25,0,25,7.41,1,1,0.0555555555556
12151,30,3,2,0,2,0.00,0,0,0.0
12151,31,13,7,0,7,41.67,4,1,0.375
12151,32,13,7,0,7,41.67,5,0,0.416666666667
12151,33,12,6,0,6,45.45,4,1,0.409090909091
12151,34,14,9,0,9,30.77,4,0,0.307692307692
12151,35,17,13,0,13,18.75,2,1,0.15625
12151,36,16,10,0,10,33.33,5,0,0.333333333333
12151,37,9,4,0,4,50.00,3,1,0.4375
12151,38,4,3,0,3,0.00,0,0,0.0
12151,39,18,16,0,16,5.88,0,1,0.0294117647059
12151,40,7,5,0,5,16.67,1,0,0.166666666667
12151,41,26,18,0,18,28.00,5,2,0.24
12151,42,3,2,0,2,0.00,0,0,0.0
12151,43,11,8,0,8,20.00,1,1,0.15
12151,44,5,4,0,4,0.00,0,0,0.0
12151,45,9,7,0,7,12.50,1,0,0.125
12151,46,9,5,0,5,37.50,3,0,0.375
12151,47,20,13,0,13,31.58,5,1,0.289473684211
12151,48,9,5,0,5,37.50,2,1,0.3125
12151,49,8,4,0,4,42.86,1,2,0.285714285714
12151,50,14,10,0,10,23.08,2,1,0.192307692308
12151,51,11,8,0,8,20.00,1,1,0.15
12151,52,4,2,0,2,33.33,1,0,0.333333333333
12151,53,6,5,0,5,0.00,0,0,0.0
12151,54,9,8,0,8,0.00,0,0,0.0
12151,55,14,9,0,9,30.77,4,0,0.307692307692
12151,56,9,4,0,4,50.00,1,3,0.3125
12151,57,25,13,0,13,45.83,11,0,0.458333333333
12151,58,24,16,0,16,30.43,7,0,0.304347826087
12151,59,26,13,0,13,48.00,10,2,0.44
